date,fuel_type,pump_price,duty_rate,vat_rate
2008-01-07,petrol,103.37,50.35,17.5
2008-01-14,diesel,108.77,50.35,17.5
2008-01-14,petrol,103.82,50.35,17.5
2008-01-21,diesel,109.09,50.35,17.5
2008-01-21,petrol,104.22,50.35,17.5
2008-01-28,diesel,109.11,50.35,17.5
2008-01-28,petrol,104.22,50.35,17.5
2008-02-04,diesel,108.99,50.35,17.5
2008-02-04,petrol,104.03,50.35,17.5
2008-02-11,diesel,108.86,50.35,17.5
2008-02-11,petrol,103.67,50.35,17.5
2008-02-18,diesel,108.99,50.35,17.5
2008-02-18,petrol,103.7,50.35,17.5
2008-02-25,diesel,110.21,50.35,17.5
2008-02-25,petrol,104.65,50.35,17.5
2008-03-03,diesel,110.9,50.35,17.5
2008-03-03,petrol,105.24,50.35,17.5
2008-03-10,diesel,112.23,50.35,17.5
2008-03-10,petrol,105.96,50.35,17.5
2008-03-17,diesel,113.08,50.35,17.5
2008-03-17,petrol,106.41,50.35,17.5
2008-03-24,diesel,114.4,50.35,17.5
2008-03-24,petrol,106.9,50.35,17.5
2008-03-31,diesel,114.79,50.35,17.5
2008-03-31,petrol,107.1,50.35,17.5
2008-04-07,diesel,115.47,50.35,17.5
2008-04-07,petrol,107.24,50.35,17.5
2008-04-14,diesel,116.51,50.35,17.5
2008-04-14,petrol,107.61,50.35,17.5
2008-04-21,diesel,118.06,50.35,17.5
2008-04-21,petrol,108.57,50.35,17.5
2008-04-28,diesel,119.1,50.35,17.5
2008-04-28,petrol,109.5,50.35,17.5
2008-05-05,diesel,120.37,50.35,17.5
2008-05-05,petrol,110.3,50.35,17.5
2008-05-12,diesel,121.49,50.35,17.5
2008-05-12,petrol,111.04,50.35,17.5
2008-05-19,diesel,124.5,50.35,17.5
2008-05-19,petrol,112.96,50.35,17.5
2008-05-26,diesel,127.21,50.35,17.5
2008-05-26,petrol,114.79,50.35,17.5
2008-06-02,diesel,128.82,50.35,17.5
2008-06-02,petrol,116.03,50.35,17.5
2008-06-09,diesel,129.68,50.35,17.5
2008-06-09,petrol,116.86,50.35,17.5
2008-06-16,diesel,130.66,50.35,17.5
2008-06-16,petrol,117.69,50.35,17.5
2008-06-23,diesel,131.45,50.35,17.5
2008-06-23,petrol,118.44,50.35,17.5
2008-06-30,diesel,132.03,50.35,17.5
2008-06-30,petrol,118.84,50.35,17.5
2008-07-07,diesel,132.55,50.35,17.5
2008-07-07,petrol,119.28,50.35,17.5
2008-07-14,diesel,132.87,50.35,17.5
2008-07-14,petrol,119.44,50.35,17.5
2008-07-21,diesel,132.89,50.35,17.5
2008-07-21,petrol,119.4,50.35,17.5
2008-07-28,diesel,130.71,50.35,17.5
2008-07-28,petrol,116.91,50.35,17.5
2008-08-04,diesel,128.19,50.35,17.5
2008-08-04,petrol,115.06,50.35,17.5
2008-08-11,diesel,126.2,50.35,17.5
2008-08-11,petrol,113.92,50.35,17.5
2008-08-18,diesel,124.1,50.35,17.5
2008-08-18,petrol,112.22,50.35,17.5
2008-08-25,diesel,123.74,50.35,17.5
2008-08-25,petrol,112.02,50.35,17.5
2008-09-01,diesel,123.89,50.35,17.5
2008-09-01,petrol,112.2,50.35,17.5
2008-09-08,diesel,124.2,50.35,17.5
2008-09-08,petrol,112.55,50.35,17.5
2008-09-15,diesel,124.14,50.35,17.5
2008-09-15,petrol,112.51,50.35,17.5
2008-09-22,diesel,122.61,50.35,17.5
2008-09-22,petrol,110.81,50.35,17.5
2008-09-29,diesel,121.65,50.35,17.5
2008-09-29,petrol,109.85,50.35,17.5
2008-10-06,diesel,121.14,50.35,17.5
2008-10-06,petrol,109.45,50.35,17.5
2008-10-13,diesel,118.42,50.35,17.5
2008-10-13,petrol,107.04,50.35,17.5
2008-10-20,diesel,114.31,50.35,17.5
2008-10-20,petrol,102.66,50.35,17.5
2008-10-27,diesel,111.01,50.35,17.5
2008-10-27,petrol,98.62,50.35,17.5
2008-11-03,diesel,109.87,50.35,17.5
2008-11-03,petrol,97.4,50.35,17.5
2008-11-10,diesel,109.13,50.35,17.5
2008-11-10,petrol,95.89,50.35,17.5
2008-11-17,diesel,108.73,50.35,17.5
2008-11-17,petrol,94.83,50.35,17.5
2008-11-24,diesel,107.78,50.35,17.5
2008-11-24,petrol,92.79,50.35,17.5
2008-12-01,diesel,106.56,52.35,15.0
2008-12-01,petrol,91.47,52.35,15.0
2008-12-08,diesel,104.87,52.35,15.0
2008-12-08,petrol,90.16,52.35,15.0
2008-12-15,diesel,101.24,52.35,15.0
2008-12-15,petrol,89.07,52.35,15.0
2008-12-22,diesel,99.94,52.35,15.0
2008-12-22,petrol,88.01,52.35,15.0
2008-12-29,diesel,99.17,52.35,15.0
2008-12-29,petrol,87.34,52.35,15.0
2009-01-05,diesel,97.57,52.35,15.0
2009-01-05,petrol,85.42,52.35,15.0
2009-01-12,diesel,98.32,52.35,15.0
2009-01-12,petrol,86.02,52.35,15.0
2009-01-19,diesel,98.45,52.35,15.0
2009-01-19,petrol,86.19,52.35,15.0
2009-01-26,diesel,99.39,52.35,15.0
2009-01-26,petrol,87.42,52.35,15.0
2009-02-02,diesel,99.82,52.35,15.0
2009-02-02,petrol,88.16,52.35,15.0
2009-02-09,diesel,100.31,52.35,15.0
2009-02-09,petrol,89.28,52.35,15.0
2009-02-16,diesel,100.86,52.35,15.0
2009-02-16,petrol,90.12,52.35,15.0
2009-02-23,diesel,100.81,52.35,15.0
2009-02-23,petrol,90.33,52.35,15.0
2009-03-02,diesel,100.64,52.35,15.0
2009-03-02,petrol,90.28,52.35,15.0
2009-03-09,diesel,100.03,52.35,15.0
2009-03-09,petrol,90.15,52.35,15.0
2009-03-16,diesel,100.0,52.35,15.0
